input,output
Why would you use an IFA for choosing a pension fund,"Why would anyone listen to someone else's advice? Because they believe that the person advising them knows better than they do. It's as simple as that.  The fact that you're doing any research at all - indeed, the fact that you know about a site on the internet where personal finance questions get asked and answered - puts you way ahead of the average member of the population when it comes to pensions.  If you think you know better than the SJP adviser (and I don't mean that aggressively, just as a matter of fact), then by all means do your own thing. But remember about unknown unknowns - you don't know everything the adviser might say, depending on your circumstances and changes to them over time..."
Why do they call them “financial products”?,"They are called ""financial products"" because they are contracts that are ""produced"" by the financial industry. For example, you could also say that a car manufacturer does not sell you a car, but a contract that will gives you ownership of a car. And, if a contract is a service and not product, in that case a car manufacturer is only selling services. It seems like it is more about the definition of ""product"" than ""financial product"". I think that as long as something is produced by the effort of labor, it could be called a product, and since financial contracts are produced by the people working in the finance industry, they can be qualified as products too. Maybe this page of wikipedia could explain things better than I just did: http://en.wikipedia.org/wiki/Product_%28business%29"
Cost basis allocation question: GM bonds conversion to stock & warrants,"I found additional evidence on TDAmeritrade's website that helps confirm that the 3/17/11 prices Jason found are the ones to use since all three were traded on that day.  Although GM+A had prices and trading as early as 2/28/11, GM+B's price and trading shows up no earlier than 3/14/11, but there was no trading indicated for GM+A on 3/14 so 3/14 can't be used.  The two warrants were not traded every day after they came out. The next date that I found when all three, GM, GM+A and GM+B had trades was 4/11/11.  I found Google and Yahoo Finance unable to produce the historical prices for the warrants that far back.  Unfortunately, you need to be a TDA accountholder in order to access TDA's historical price information for stocks."
Lowest Interest Options for Short-Term Loan,"Also talk to your bank(s) or credit union(s); first one of mine I looked at offers an unsecured loan at 7% variable, and a signature loan at 7.5% fixed, no hidden costs on either. You might do better. Also check store credit. Sears used to offer 1-year-0% financing on appliances if you signed up for the store's card at the time of purchase, and if you have the discipline to reliably pay it off before interest hits that's a hard deal to best. Other stores have offered something similar for major purchases of this sort; do some homework to find out who. (I bought my fridge that way, paying it in month 10.) The ""catch""  is that many people get distracted and do wind up paying interest, and the store hopes that having an account with them will encourage you to shop there more often.)"
Will I be liable for taxes if I work for my co. in India for 3 months while I am with my husband in UK,"The finance team from your company should be able to advise you. From what I understand you are Indian Citizen for Tax purposes. Any income you receive globally is taxable in India. In this specific case you are still having a Employee relationship with your employer and as such the place of work does not matter. You are still liable to pay tax in India on the salary. If you are out of India for more than 182 days, you can be considered as Non-Resident from tax point of view. However this clause would not be of any benefit to you as are having a Employee / Employer relationship and being paid in India. Edit: This is only about the India portion of taxes. There maybe a UK protion of it as well, plus legally can you work and your type of Visa in UK may have a bearing on the answer"
Calculating required rate of return for an income-generating savings account,"Line one shows your 1M, a return with a given rate, and year end withdrawal starting at 25,000.  So Line 2 starts with that balance, applies the rate again, and shows the higher withdrawal, by 3%/yr.  In Column one, I show the cumulative effect of the 3% inflation, and the last number in this column is the final balance (903K) but divided by the cumulative inflation.  To summarize - if you simply get the return of inflation, and start by spending just that amount, you'll find that after 20 years, you have half your real value.  The 1.029 is a trial and error method, as I don't know how a finance calculator would handle such a payment flow. I can load the sheet somewhere if you'd like.  Note: This is not exactly what the OP was looking for. If the concept is useful, I'll let it stand. If not, downvotes are welcome and I'll delete."
Can i short securities in a normal(non-margin) account,"Exact rules may be different depending on the size of the investor, the specific broker, and the country.  For both the US and Canada, short sales occur only through one's margin account.  And shares that are borrowed for shorting only come from a margin account. Shares held in a cash account are not available for shorting.  From Wikipedia Short (finance) - The speculator instructs the broker to sell the shares and the   proceeds are credited to his broker's account at the firm upon which   the firm can earn interest. Generally, the short seller does not earn   interest on the short proceeds and cannot use or encumber the proceeds   for another transaction. As with many questions, I'd suggest you contact your broker for the exact details governing your account."
Can someone recommend a book that discusses the differences between types of financial statements?,"I would recommend ""How to Read a Financial Report : For Managers, Entrepreneurs, Lenders, Lawyers, and Investors"" by John A. Tracy for the following reasons: I also think the book would bridge the gap nicely between a broad understanding of finance and a more serious technical know-how."
Life insurance policy,"First off, I would question why do you need a LI policy?  While you may be single are you supporting anyone?  If not, and you have some money saved to cover a funeral; or, your next of kin would be able to pay for final expenses then you probably don't have a need.   In, general, LI is a bad investment vehicle.  I do not know hardly anything about the Indian personal finance picture, but here in the US, agents tout LI as a wonderful investment.  This can be translated as they make large commissions on such products. Here in the US one is far better off buying a term product, and investing money elsewhere.  I image it is similar in India. Next time if you want to help a friend, listen to his sales presentation, give some feedback, and hand him some cash.  It is a lot cheaper in the long run."
What happen in this selling call option scenario,"But what happen if the stock price went high and then go down near expiry date? When you hold a short (sold) call option position that has an underlying price that is increasing, what will happen (in general) is that your net margin requirements will increase day by day.  Thus, you will be required to put up more money as margin to finance your position.  Margin money is simply a ""good faith"" deposit held by your broker.  It is not money that is debited as cash from the accounting ledger of your trading account, but is held by your broker to cover any potential losses that may arise when you finally settle you position.   Conversely, when the underlying share price is decreasing, the net margin requirements will tend to decrease day by day.   (Net margin is the net of ""Initial Margin"" and ""Variation Margin"".) As the expiry date approaches, the ""time value"" component of the option price will be decreasing."
Why have candlestick charts overlaps?,Remember that prices refer to discrete events in the market - trades - it is easily possible that the highest price for a trade in the next period is lower than the highest price in the current one as someone in the current period may be willing to pay more in this period than anyone in the next. The ending price of a period is also determined this way; it is the last price that someone was willing to pay in this period not the first price that someone will pay in the next period. Why? because the last price in this period is not in the next period by definition! edit: added something on illiquid stocks Illiquid stocks may have intraday gaps in the sequence of candlesticks where no trading occurred. Below is one such chart for 1pm plc.(OPM.L) a UK based leasing company (thanks to Yahoo finance for this):
Should retirement fund be equal to amount of money needed for financial independence?,"It depends what you mean. Finance Independence and Retirement Early (FI/RE) are two overlapping ideas. If you plan to retire early and spend the same amount of money every year (adjusted for inflation), then you need to save twenty-times your yearly spending to satisfy the 4% Safe Withdrawal rule of thumb. Carefully notice I say ""yearly spending"" and not income.  I'm unaware how it is in Pakistan, but in America, people who retire in their sixties tend to reduce their spending by 30%. This is for a host of reasons like not eating out as much, not driving to work, paid off mortgages, and their children being adults now. In this type of profile, a person needs to save 17.5x yearly spending. This numbers presume a person will only use their built assets as an income source. Any programs like a government pension acting as a safety net. If you factor those in, the estimates above become smaller."
Why YTM is higher than current yield in discount bond,"Say you buy a bond that currently costs $950, and matures in one year, at $1000 face value. It has one coupon ($50 interest payment) left. The coupon, $50, is 50/950 or 5.26%, but you get the face value, $1000, for an additional $50 return. This is why the yield to maturity is higher than current yield. If the maturity were in two years, the coupons still provide 5.26%, and the extra 1000/950 is another 5.26% over 2 years, or (approx) 2.6%/yr compounded, for a total YTM of 7.86%. This is a back-of envelope calculation, the real way to calculate is with a finance calculator. Entering PV (present value) FV (future value) PMT (coupon payment(s)) and N (number of periods). With no calculator or spreadsheet, my estimate will be pretty close."
Calculate Future Value with Recurring Deposits,"Let's break this into two parts, the future value of the initial deposit, and the future value of the payments: D(1 + i)n For the future value of the payments A((1+i)n-1) / i) Adding those two formulas together will give you the amount of money that should be in your account at the end.  Remember to make the appropriate adjustments to interest rate and the number of payments.  Divide the interest rate by the number of periods in a year (four for quarterly, twelve for monthly), and multiply the number of periods (p) by the same number.  Of course the monthly deposit amount will need to be in the same terms. See also: Annuity (finance theory) - Wikipedia"
"If a put seller closes early, what happens to the buyer?","The original option writer (seller) can close his short position in the contracts he wrote by purchasing back matching contracts (i.e. contracts with the same terms: underlying, option type, strike price, expiration date) from any others who hold long positions, or else who write new matching contract instances. Rather than buyer and seller settling directly, options are settled through a central options clearing house, being the Options Clearing Corporation for exchange-listed options in the U.S. See also Wikipedia - Clearing house (finance). So, the original buyer of the put maintains his position (insurance) and the clearing process ensures he is matched up with somebody else holding a matching obligation, if he chooses to exercise his put. I also answered a similar question but in more detail, here."
"The doctor didn't charge the health insurance in time, am I liable?","I had a similar issue take place at a hospital when the repeatedly billed the ""wrong me"" -- a stale insurance record left behind from when I was a dependent on my parent's insurance a decade earlier. They ended up billing me for anesthesia when I had a major surgery (everything else was billed to the correct insurance.) The outsourced billing people were pretty unhelpful (not usually the case with hospitals), so I became the squeaky wheel. I sent certified letters, had my priest rattle the cage (it was a Catholic hospital) and eventually talked myself into a meeting with the VP of Finance, who started paying attention when the incompetence of his folks became apparent. Total cost: $0 + my time."
How do I calculate the dwelling coverage I need from the information I have?,"Never take the first quote. Consider what it would really cost to replace the house -- to rebuild and pay for living while you do so (including demolition, etc.) and/or pay off the mortgage and return your equity if it is a financed property.  Most insurances will have a limit on how much coverage you can get based on the property value and your goods value estimates.  Shop around for a company that will give you a good price but also good customer service and a smooth claims process.  They should be solvent (able to pay your claim if, say, a tornado hit the whole neighborhood).  And they should cover your reasonable replacement costs. And remember, insurance is about the big losses like fires. Know what you are comfortable self insuring (higher or lower deductibles, optional coverages, etc.) and you will have an easier time getting the coverage you need for the price you want to pay."
Analyst estimates for an insurance company,"Something to consider is how broad is Yahoo! Finance taking in their data for making some comparisons.  For example, did you look at the other companies in the same industry?  On the Industry page, the Top Life Insurance Companies by Market Cap are mostly British companies which could make things a bit different than you'd think. Another point is how this is just for one quarter which may be an anomaly as the data could get a bit awkward if some companies are just coming back to being profitable and could have what appears to be great growth but this is because their earnings grow from $.01/share to $1/share which is a growth of $10,000 percent as this is an increase of 100 times but really this may just be from various accounting charges the company had that hit its reserves and caused its earnings to dip temporarily."
Buying a House and Taking Part of 20% to move initial payment date forward,"In the prior PMI discussions here, it's been stated that the bank is not obligated to remove PMI until the mortgage's natural amortization puts the debt at 78% LTV. So, paying in advance like this will not automatically remove the PMI.  Nor will a lump sum payment be certain to move the next payment ahead a year. If it's entered as a principal prepayment, the next month's payment is still due. In the world of coupon books, if you sent in a year's payments, you'd not benefit from the interest saved, in one year you'd owe what the amortization table tells you.  There's no free lunch when it comes to mortgages or finance in general. This is why we usually caution that one should not be cash poor the day after buying a house. Best to save 30%, put down 20%, and have a cushion after the closing."
"What happens if one brings more than 10,000 USD with them into the US?","Bad plan. This seems like a recipe for having your money taken away from you by CBP.  Let me explain the biases which make it so.  US banking is reliable enough for the common citizen, that everyone simply uses banks.  To elaborate, Americans who are unbanked either can't produce simple identity paperwork; or they got an account but then got blacklisted for overdrawing it. These are problems of the poor, not millionaires.  Outside of determined ""off the grid"" folks with political reasons to not be in the banking and credit systsm, anyone with money uses the banking system.  Who's not a criminal, anyway.  We also have strong laws against money laundering: turning cash (of questionable origin) into ""sanitized"" cash on deposit in a bank.  The most obvious trick is deposit $5000/day for 200 days. Nope, that's Structuring: yeah, we have a word for that.  A guy with $1 million cash, it is presumed he has no choice: he can't convert it into a bank deposit, as in this problem - note where she says she can't launder it.  If it's normal for people in your country to haul around cash, due to a defective banking system, you're not the only one with that problem, and nearby there'll be a country with a good banking system who understands your situation.  Deposit it there.  Then retain a US lawyer who specializes in this, and follow his advice about moving the money to the US via funds transfer. Even then, you may have some explaining to do; but far less than with cash.  (And keep in mind for those politically motivated off-the-financial-grid types, they're a bit crazy but definitely not stupid, live a cash life everyday, and know the law better than anybody. They would definitely consider using banks and funds transfers for the border crossing proper, because of Customs.  Then they'll turn it into cash domestically and close the accounts.)"
What is the best way to make a bet that a certain stock will go up in the medium term?,"You could try to refine your options strategy:  For instance you could buy the USD 750 call option(s) you mentioned and at the same time sell (short) call options with a higher strike price, which is above the share price level you expect that Apple will trade at in one year (for instance USD 1,100).  By doing this, you would receive the premium of the call option(s) with the higher option, which in turn would help you finance buying your USD 750 call(s). The net effect of this trading strategy would be that you would give up the extra profit you would earn if Apple would rose above USD 1,100 (the strike price of the call option sold short). Your total risk would be even less than with your actual strategy (in my view)."
Interest charges on balance transfer when purchases are involved,"Its called a ""Grace Period"" and you are not paying interest on the 0% BT, you are paying interest on the amount you spent in purchases If you do not pay your balance in full by the due date your grace period ends. This means that you have to pay interest on the purchased amount from the day it is made. This is why when you do a balance transfer the card should be put in the Sock Drawer until the BT is paid off. In order to restore the grace period you must pay the balance in full and the grace period will start during the Next Payment Cycle. Lets Assume: Statement cuts on the 1st and Due date is the 20th. you make the minimum payment of $10 Balance now is $100 Since you have a balance of $100 from the previous statement and a new purchase of $50.00, when the next statement cuts you will have to pay interest according to the terms on the $50.00 portion. In order to get the grace period back you will have to pay in full and wait for the next cycle In case I did not explain it well here is a quote from creditcards dot com website: The cost of carrying a balance   This is because carrying a balance of   any size into the next billing cycle means there is no grace period on   your purchases during that cycle. The card company will begin charging   interest on your purchases the day you make them. So leaving even $1   in unpaid balance on your card will cost you considerably more than   the measly finance charges on that dollar. To see how this works let's consider an imaginary card user named   Sally. She's so happy she got a new credit card that she charges   $1,500 in purchases on the first day of her monthly billing cycle.   After the cycle ends, Sally pays off the entire $1,500 by the due   date, wiping her balance to zero. As a result, her purchases during   the second month are also free of interest. She has used her grace   period wisely to avoid finance charges. What happens if Sally leaves just $1 of her balance from the first   month unpaid? That $1 begins to accrue interest starting the first day   of the billing cycle. It's just $1, so the interest is not a big deal   -- but because she used up her grace period without paying off her entire debt, her new purchases during the second month also start to   get hit with interest charges immediately, starting the day of the   transaction. Assuming she makes another $1,500 in purchases at the   average annual interest rate of about 13 percent, that means $16 in   finance charges for the month. If Sally repeats this pattern, the   interest costs add up to $190 over the course of a year."
What does it mean that stocks are “memoryless”?,"With my current, limited knowledge (see end), I understand it the following way: Are share prices really described as ""memoryless""?  Yes.  Is there a   technical meaning of the term? What does it really mean? The meaning comes from Markov Models: Think of the behavior of the stock market over time as a Markov Chain, i.e. a probabilistic model with states and probabilistic transitions. A state is the current price of all stocks of the market, a transition is a step in time. Memoryless means that transitions that the stock market might make can be modelled by a relation from one state to another, i.e. it only depends on the current state. The model is a Markov Chain, as opposed to a more general Stochastic Process where the next state depends on more than the current state. So in a Markov Chain, all the history of one stock is ""encoded"" already in its current price (more precisely in all stock's prices).  The memorylessness of stocks is the main statement of the Efficient Market Theory (EMT). If a company's circumstances don't change, then a drop in its share price is going to be followed by a rise later.  So if the EMT holds, your statement above is not necessarily true. I personally belief the EMT is a good approximation - only large corporations (e.g. Renaissance Technologies) have enough ressources (hundreds of mathematicians, billions of $) to be able to leverage tiny non-random movements that stem from a not completely random, mostly chaotic market.  The prices can of course change when the company's circumstances change, but they aren't ""memoryless"" either. A company's future state is influenced by its past. In the EMT, a stock's future state is only influenced by its past as much as is encoded in its current price (more precisely, the complete market's current state). Whether that price was reached by a drop or a rise makes no difference.  The above is my believe, but I'm by far no finance expert. I am working professionally with probabilistic models, but have only read one book on finance: Kommer's ""Souverän investieren mit Indexfonds und ETFs"". It's supposed to contain many statements of Malkiel's ""A Random Walk Down Wall Street""."
How to calculate average drawdown of a trading system?,"First of all, I think I'll clear off some confusion in the topic. The Sterling Ratio is a very simple investment portfolio measurement that fits nicely to the topic of personal finance, although not so much to a foreign exchange trading system. The Sterling Ratio is mainly used in the context of hedge funds to measure its risk-reward ratio for long term investments. To do so, it has been adapted to the following in order to appear more like the Sharpe Ratio:  I Suppose this is why you question the Average Largest Draw-down. I'll come back to that later. It's original definition, suggested by the company Deane Sterling Jones, is a little different and perhaps the one you should use if you want to measure your trading system's long term risk-reward ratio, which is as followed:  Note: Average Annual Draw-down has to be negative on the above-mentioned formula. This one is very simple to calculate and the one to use if you want to measure any portfolio's long-term results, such an example of a 5 or 10 years period and calculate the average of each years largest drawdown. To answer @Dheer's comment, this specific measurement can also be used in personal investments portfolio, which is considered a topic related to personal finance. Back to the first one, which answers your question. It's used in most cases in investment strategies, such as hedging, not trading systems. By hedging I mean that in these cases long term investments are made in anti-correlated securities to obtain a diversified portfolio with a very stable growth. This one is calculated normally annually because you rely on the Annual Risk-Free Rate. Having that in mind I think you can guess that the Average Largest Drawdown is the average between the Largest/Maximum Drawdown from each security in the portfolio. And this doesn't make sense in a trading system. Example: If you have invested in 5 different securities where we calculated the Largest Draw-down for each, such as represented in the following array: MaxDD[5] = { 0.12, 0.23, 0.06, 0.36, 0.09 }, in this case your Average Largest Draw-down is the average(MaxDD) that equals 0.172 or 17,2% If your portfolio's annual return is 15% and the Risk-free Rate is 10%, your Sterling Ratio SR = (0.15 - 0.10)/0.172, which result to 0.29. The higher the rate better is the risk-reward ratio of your portfolio. I suggest in your case to only use the original Sterling Ratio to calculate your long-term risk-reward, in any other case I suggest looking at the Sharpe and Sortino ratios instead."
"Fees aside, what factors could account for performance differences between U.S. large-cap index ETFs?","The ""ideal world"" index fund of any asset class is a perfect percentage holding of all underlying assets with immediate rebalancing that aligns to every change in the index weighting while trading in a fully liquid market with zero transaction costs. One finance text book that describes this is Introduction to Finance: Markets, Investments, and Financial Management, see chapter 11.  Practically, the transaction costs and liquidity make this unworkable. There are several deviations between what the ""ideal world algorithm"" (""the algorithm"") says you should do and what is actually done. Each of these items addresses a real-world solution to various costs of managing a passive index fund. (And they are good solutions.) However, any deviation from the ideal index fund will have a risk. An investor evaluating their choices is left to pick the lowest fees with the least deviation from the ideal index fund. (It is customary to ignore whether the results are in excess or deficit to the ideal). So your formula is: This is also described in the above book."
"For a car loan, how much should I get preapproved for?","—they will pull your credit report and perform a ""hard inquiry"" on your file. This means the inquiry will be noted in your credit report and count against you, slightly. This is perfectly normal. Just don't apply too many times too soon or it can begin to add up. They will want proof of your income by asking for recent pay stubs. With this information, your income and your credit profile, they will determine the maximum amount of credit they will lend you and at what interest rate. The better your credit profile, the more money they can lend and the lower the rate.  —that you want financed (the price of the car minus your down payment) that is the amount you can apply for and in that case the only factors they will determine are 1) whether or not you will be approved and 2) at what interest rate you will be approved. While interest rates generally follow the direction of the prime rate as dictated by the federal reserve, there are market fluctuations and variances from one lending institution to the next. Further, different institutions will have different criteria in terms of the amount of credit they deem you worthy of.  —you know the price of the car. Now determine how much you want to put down and take the difference to a bank or credit union. Or, work directly with the dealer. Dealers often give special deals if you finance through them. A common scenario is: 1) A person goes to the car dealer 2) test drives 3) negotiates the purchase price 4) the salesman works the numbers to determine your monthly payment through their own bank. Pay attention during that last process. This is also where they can gain leverage in the deal and make money through the interest rate by offering longer loan terms to maximize their returns on your loan. It's not necessarily a bad thing, it's just how they have to make their money in the deal. It's good to know so you can form your own analysis of the deal and make sure they don't completely bankrupt you.  —is that you can comfortable afford your monthly payment. The car dealers don't really know how much you can afford. They will try to determine to the best they can but only you really know. Don't take more than you can afford. be conservative about it. For example: Think you can only afford $300 a month? Budget it even lower and make yourself only afford $225 a month."
Can mortgage insurance replace PMI?,"PMI IS Mortgage insurance. It stands for ""Private Mortgage Insurance"". This guy is just trying to get you to buy it from him instead of whoever you have it with now.  Your lender would always be on the policy since it is an insurance policy they hold (and you pay for) that protects them from you defaulting on the loan. Don't think of it as insurance for you in case you can't pay. If that should happen, your credit would still be trashed, the bank just wouldn't be out the money. You don't really get any benefit at all from it. It is just the way a bank can mitigate the risk of giving out large loans. This is why people are keen to drop it as soon as possible.  The whole thing about keeping the house in your estate after you die makes me think he is trying to sell you a different type of insurance called Mortgage Life Insurance. PMI isn't typically about that type of situation. Your estate will go into probate to work out your debts if you die and my understanding is that PMI doesn't usually pay out in that situation.  If this is what he is selling, buying such a policy would be on top of your PMI insurance payment, not instead of it. Be forewarned, personal finance experts usually consider mortgage life insurance to be a ripoff. If you want to protect against the risk of your heirs losing the house because they can't make the payments, you are better off with Term Life Insurance.  However, don't worry that they will inherit your debt on the house unless they are on the loan. If they don't want the house, they won't be obliged to make payments on it (unless they want to keep it). It won't affect their credit if they just walk away and let the bank have the house after you die unless they are on the note. Here is an article (in two parts) with a pretty good treatment of the issue of choosing your own PMI policy: ""Give Buyers Freedom to Choose Mortgage Insurance"" Part 1 Part 2"
Timing between loans and applying for a new credit card,"There were several areas where the mortgage and car loan have affected your credit.  The mortgage had the following impacts, The car loan (purchased shortly after the house) had the following impacts, You did not mention your payment history, but since you had an 800 prior to the house purchase, we can assume that your payment history is current (nothing late). You did not mention your credit utilization, but you want to keep your utilization low (various experts suggest 10%, 20% and 30% as thresholds).  The down payment on the house likely drained your available funds, and replacing the car may have also put stress on your funds.  And when you buy a house, often there are additional expenses that further strain budgets. My guess is that your utilization percentage has increased.  My suggestion would be to reduce your utilization ratio on your revolving accounts.  And since you have plenty of credit lines, you might want to payoff the car. Your Chase card has a good age, which helps with age of credit, and though you will find experts that say you should only have 2-4 revolving accounts (credit cards), other experience shows that having accounts with age on them is a good thing.  And having a larger number of accounts does not cause problems (unless you have higher utilization or you miss payments). You did not mention whether the Chase card has any fees or expenses, as that would be a reason to either negotiate with Chase to reduce or eliminate the fees, or to cancel the card. Have you checked your credit report for errors?  You can get a free report from each of the three bureaus once per year."
Non-owner car insurance and registration,"this is a bit unusual, but not unheard of. i have known more than one car whose owner was not its driver.  besides the obvious risk that the legal owner of the car will repossess it, this seems fairly safe.  your insurance should cover any financial liability that you incur during an accident.  even if the car is repossessed by the owner, you are only out the registration fees. i would suggest you avoid looking this gift horse in the grill.  her father on the other hand might be in for some drama and financial mess if he has a falling-out with his ""friend"". this arrangement reminds me of divorces where one spouse owns the car, but the other drives it and pays the loan.  usually, when the relationship goes south, one spouse is forced to sell the car at a loss."
The Big Short - shorting vs CDS,"To be able to truly short something you technically need to be able to borrow the security so you can sell it.  There needs to be a system for borrowing in place to be able to do this which is very robust for large U.S. stocks but doesn't exist for CDOs mainly due to the complex legal structures around them.   However, the word ""short"" is commonly used in finance to mean profiting from a loss of value of something.  So the use in the movie title, though a bit confusing, was fine. Credit Default Swaps are not technically insurance as you don't need own the thing you are ""insuring"" (and for a few other reasons).  However, I agree with the movie that thinking of them as insurance is a pretty good way to understand them.  As you are playing a monthly premium to for a contract that pays out when something goes very wrong.   However, the movie was a little fast a loose as CDS of various types were regularly traded well before the bubble even started.  Though maybe not that particular type of CDS.  So while they may have been ""expensive"" it was the easiest route and reasonable idea."
How come I can't sell short certain stocks? My broker says “no shares are available”,"In finance, short selling (also known as shorting or going short) is the practice of selling assets, usually securities, that have been borrowed from a third party (usually a broker) with the intention of buying identical assets back at a later date to return to the lender. Remember your broker has to borrow it from somewhere, other clients or if they hold those specific stocks themselves. So if it isn't possible for them to lend you those stocks, they wouldn't. High P/E stocks would find more sellers than buyers, and if the broker has to deliver them, it would be a nightmare for him to deliver all those stocks, which he had lent you(others) back to whom he had borrowed from, as well as to people who had gone long(buy) when you went short(sell). And if every body is selling there is going to be a dearth of stocks to be borrowed from as everybody around is selling instead of buying."
Are there statistics showing percentage of online brokerage customers that are actually making a profit trading forex/futures/options?,"Finding statistics is exceedingly hard, because the majority of traders lose money. That is, not only they don't ""beat the markets"", not only they don't ""beat the benchmark"" (S&P 500 being used a lot as reference): they just lose money. Finding exact numbers, quality statistics and so on is very difficult. Finding recent ones, is almost impossible. With enormous effort I have found two references that might help make an idea. One is very recent, Forex ""centered"" and has been prepared by a large finance group for the the Europen Central Bank (ECB). It's available on their website, at an obscure download location. The document is stated to be confidential, but its download location has been disclosed to the public by CNBC. I can't post CNBC's link because I have just joined this Stack Exchange portal so I don't have enough reputation. You can find it by looking for their article about FXCM Forex broker debacle due to the Swiss Central Bank removing the EUR/CHF peg at 1.20. The second is a 2009-ish paper about Taiwanese retail traders profitability statistics published by Oxford University Press and talks about stocks. Both documents focus on retail traders. I strongly suggest you to immediately save those documents because they tend to disappear after a while. We had a fantastic and complete statistics report made by a group of German Banks in 2011... they pulled it off in 2012."
Why does a ETN that is supposed to track Crude Oil like UWTI show constant decline every year? And am I an idiot for investing in it?,"After looking at both S&P GSCI Crude Oil Index Excess Return (INDEXSP:SPGSCLP) and CS VS 3x LC ETN NYSEARCA: UWTI they seem to track well (using Google Finance).   I'm not seeing where your statement this ETN loses whether oil is gaining or not holds true.   Both have posted a year-over-year loss. In the past year the Crude Oil index has fallen from a high of 494 on October 6, 2014 to a low of 213 as of today October 5th, 2015.  So of course the UWTI will lose as well. Please also notice that that, as stated in the prospectus for UWTI: The ETNs are intended to be daily trading tools for sophisticated   investors to manage daily trading risks. They are designed t o achieve   their stated investment objectives on a daily basis, but their   performance over different periods of time can differ significantly fr   om their stated daily objectives. The ETNs are riskier than securities   that have intermediate or long-term investment objectives, and may not   be sui table for investors who plan to hold them for a period other   than one day. You might want to look into investing in an ETF for long term investment goals and objectives.  Oil ETF List"
"Is it better to pay an insurance deductible, or get an upgrade?","I think you have a few choices that cannot be described by math alone: Repair current phone:  149 Replace current phone with new model from carrier:  100 + cost of new phone Replace current phone with new model on payment plan from carrier:  100 + cost of new phone + finance charge (could be zero or cleverly hidden). You can also replace the current phone with either a used or new bought from a separate party.  Quite recently I was selling some gently used IPhones 4S for around $140.   So really you have to determine what is most important to you guys.  Is it important to have the newest model phone with laying out the least amount of cash now?  Then by all means go with the payment plan with your current carrier. Is it most important to be financially efficient, while having a good working phone?  Then pay the deductible; or buy something gently used.   In my opinion, having a phone payment is a losing game, akin to buying a new car every three years or so.  You are buying something on time that quickly depreciates and hiding the true cost of the item in ""painless"" monthly payments."
Split buying a house 3 ways. How do I approach this?,"I would second the advice to not do this. Real estate ownership is complex to begin with, involving a constant stream of maintenance, financing, and other decisions.  It is difficult enough to do for a single individual or a family as a unit (a couple), but at least spouses are forced to compromise. Friends are not, and you can end up with long-running conflicts and impasses. Financial transactions of any kind impose tensions on relationships, and friendships are no exception. If you want your friendship to survivie, do not sacrifice it to the financial arrangement which seems like a good idea at the moment. My advice would be to steer clear, no matter how attractive on the surface the deal might look. Focus on your own individual finances and use discipline and patience to save the amount needed for acquiring a separate investment property. But it will be 100% yours, and will save tons of headache. Since you are still considering this deal, it's a great time to politely change your mind and walk away - believe me, a few minutes of inconvenience will save you years of frustration. Good luck!"
Stock market order execution,"When you are placing an order with an online broker you should already know what exchange or exchanges that stock trades on. For example if you look up under Yahoo Finance: Notice how News Corp is traded both on the ASX and the Nasdaq. The difference is the shares traded on the ASX have the extension .AX, that is how you know the difference between them. When you are putting orders in with your online broker you will need to select the exchange you wish your order to go to (if your broker allows trading on multiple exchanges). So you should always know which exchange your order goes to."
Discount Rate vs. IRR,"The IRR is the Discount Rate r* that makes Net Present Value NPV(r*)==0. What this boils down to is two ways of making the same kind of profitability calculation.  You can choose a project with NPV(10%)>0, or you can choose based on IRR>10%, and the idea is you get to the same set of projects.  That's if everything is well behaved mathematically. But that's not the end of this story of finance, math, and alphabet soup. For investments that have multiple positive and negative cash flows, finding that r* becomes solving for the roots of a polynomial in r*, so that there can be multiple roots.  Usually people use the lowest positive root but really it only makes sense for projects where NPV(r)>0 for r<r* and NPV(r)<0 for r>r*.   To try to help with your understanding, you can evaluate a real estate project with r=10%, find the sum future discounted cash flows, which is the NPV, and do the project if NPV>0.   Or, you can take the future cash flows of a project, find the NPV as a function of the rate r, and find r* where NPV(r*)==0. That r* is the IRR.  If IRR=r*>10% and the NPV function is well behaved as above, you can also do the project. When we don't have to worry about multiple roots, the preceding two paragraphs will select the same identical sets of projects as meeting the 10% return requirement."
Harmony Gold Mining Company is listed on the NYSE and JSE at different prices?,"The quotes on JSE are for 100 share lots.  The quotes on NYSE are for single shares.  That still leaves some price difference, but much less than you calculated. (EDIT: Equivalently, the price is quoted in 1/100th of a Rand.  The Reuter's listing makes this explicit since the price is listed as ZAc rather than ZAR.  http://www.reuters.com/finance/stocks/overview?symbol=HARJ.J) As noted in the other answer currently up, NYSE is quoting American Depositary Receipts (ADRs) for this company, which is not directly its stock.  The ADR in this case, if you check the prospectus, is currently 1 share of the ADR = 1 share of the stock on its home market.  A US institution (in this case it looks like BNY Mellon) is holding shares of stock to back each ADR. Arbitrage is possible and does happen.  It's not perfect though, because there are a variety of other cost and risk factors that need to be considered.  There's a good review here: Report by JP Morgan Some summary points:"
